jd,flux,target_raw,comp1,comp2,comp3,comp4
2460957.3240251853,10.9682766698203,-116.94727225735915,-238.85070571627512,-213.65366135031582,139.98781790803696,52.323875748243154
2460957.3242675695,34.6836004213878,-110.22830290623097,164.15412810926864,232.02861282440062,-207.9650660648258,-265.77312278664976
2460957.3245106135,-5.530802569714378,-245.35668078738672,297.38098722656287,479.14842712477184,228.24219041521792,77.79118560880306
2460957.3247525,-1.5690085359923243,17.55630735946761,154.97635815395915,199.7063389515497,-365.8434053284509,-261.89498297262617
2460957.3249960765,-11.546987428497685,-214.4782533701,218.38174880850784,169.5533183311345,137.10374112983845,-71.76780735772627
2460957.325238831,-3.4138744378910406,118.42352331973962,11.42655975771413,85.48946667152268,-535.5150969102433,-407.91425289945255
2460957.32548103,-49.05617839653447,-244.42564420760027,12.780134022581478,168.2879011923833,-100.68001893500696,41.20158088545213
2460957.3257243405,11.685204542336669,105.01335708962142,-27.502575971935585,-2.950266228621331,168.34202336075396,81.4173608790843
2460957.3259672225,4.832122599488482,50.55863961664727,248.67306989179633,284.6728918752815,-69.88005969865117,-208.136517206789
2460957.3262096294,13.84701744548003,30.11646641234256,-74.87114802815631,120.44457531523949,-60.708252518379595,68.20996404661128
2460957.3264527433,4.276168551254096,100.83443469425401,250.41804054318345,204.81698619614326,18.982133476918534,101.21935374309396
2460957.326695764,-17.54864966000575,282.3538329981675,177.0025741339523,136.30008509825348,-330.21642693708054,-375.7251532712944
2460957.3269389584,6.0350202972645075,167.4741996407647,253.29641741931846,327.27307587273754,108.53737499224371,-11.913744626301195
2460957.3271818054,-20.626461216828613,-145.09635004411393,161.92308911720465,79.55852293501448,-97.99003327425817,28.17080018177512
2460957.3274244675,49.10940859184113,-65.03935502645982,-146.95398683853637,-97.63149120343587,57.67972880949674,154.58697465316436
2460957.3276666896,12.567267071758167,-278.8630633408393,-258.5922324750172,-245.38027480277742,47.47828589601704,-84.99960922560786
2460957.3279093285,38.824932604819125,-248.8499660085581,-353.84211111823606,-225.15046830435313,310.3596792224853,112.22083911136724
2460957.3281522687,1.0,-19.134949316063285,-148.65421592678103,-152.80853373430364,-57.28420900445417,-108.20336403834517
2460957.32839456,5.36278337508273,-166.49605771728602,-358.9952086798039,-364.16009407661113,44.030582321516704,-78.50510665515321
2460957.328636979,2.2235243758314955,73.66999089227465,313.7648154295093,241.32367021090977,99.31844544197884,154.11552195785043
2460957.328880035,-33.253326700934196,-209.91964425415063,49.28423225672668,-2.458380577423668,-3.408403472567443,110.63242536613689
2460957.3291229284,14.774974055812496,419.1064097817689,61.52662199237966,203.12175284403565,187.35342857131036,240.21309079078492
2460957.3293661573,-12.360849288218976,105.33896929468392,23.323172745465854,197.89176288623275,-103.49564912496135,-325.6813495117058
2460957.32960897,-7.791282528867522,163.25849056274092,-37.66359836662741,-211.73490270716502,-162.00931138964734,-99.93268237852317
2460957.329851412,-0.42020933041950564,-18.859901795294718,516.7937486959418,510.90689355774884,-17.117094453657046,84.67612997454489
2460957.3300942825,-4.608460953570288,211.10563885443116,-229.24275057188424,-281.7539213503296,-185.644209111706,-421.2187822826636
2460957.33033625,1.3158428739793537,-43.83175856535672,-206.3603763068786,-320.76823516506556,-86.87086110391101,-198.88387347606476
2460957.3305796064,-366.792674191004,303.0376205383145,-126.69711779972567,-77.95049922394901,-1.40434630251184,185.89062963052493
2460957.3308215276,-5.358471703017119,196.8300757756224,-167.42628269636407,-67.47422472614926,-284.2110808664329,-377.27196938702764
2460957.331064259,2.129606834895176,-29.284566987636936,32.156976580427,-134.52525249423343,-112.15395019097195,-121.04747296230926
2460957.331307593,6.018623350990051,144.52725268310314,249.13688904073206,276.7141508228706,-95.72685297490898,155.8735585798422
2460957.331549919,-2.734166712152905,-56.623530030188704,116.67208641624165,95.63366130517534,252.60928385896477,40.46178194987442
